y,x
455,900
455,899
455,898
455,897
455,896
455,895
455,894
455,893
455,892
455,891
455,890
455,889
455,888
455,887
455,886
455,885
455,884
455,883
455,882
455,881
455,880
455,879
455,878
455,877
455,876
455,875
455,874
455,873
455,872
455,871
455,870
455,869
455,868
455,867
455,866
455,865
455,864
455,863
455,862
455,861
455,860
455,859
455,858
455,857
455,856
455,855
455,854
455,853
455,852
455,851
455,850
455,849
455,848
455,847
455,846
455,845
455,844
455,843
455,842
455,841
455,840
455,839
455,838
455,837
455,836
455,835
455,834
455,833
455,832
455,831
455,830
455,829
455,828
455,827
455,826
455,825
455,824
455,823
455,822
455,821
455,820
455,819
455,818
455,817
455,816
455,815
455,814
455,813
455,812
455,811
455,810
455,809
455,808
455,807
455,806
455,805
455,804
455,803
455,802
455,801
455,800
455,799
455,798
455,797
455,796
455,795
455,794
455,793
455,792
455,791
455,790
455,789
455,788
455,787
455,786
455,785
455,784
455,783
455,782
455,781
455,780
455,779
455,778
455,777
455,776
455,775
455,774
455,773
455,772
455,771
455,770
455,769
455,768
455,767
455,766
455,765
455,764
455,763
455,762
455,761
455,760
455,759
455,758
455,757
455,756
455,755
455,754
455,753
455,752
455,751
455,750
455,749
455,748
455,747
455,746
455,745
455,744
455,743
455,742
455,741
455,740
455,739
455,738
455,737
455,736
455,735
455,734
455,733
455,732
455,731
455,730
455,729
455,728
455,727
455,726
455,725
455,724
455,723
455,722
455,721
455,720
455,719
455,718
455,717
455,716
455,715
455,714
455,713
455,712
455,711
455,710
455,709
455,708
455,707
455,706
455,705
455,704
455,703
455,702
455,701
455,700
455,699
456,699
457,699
458,699
459,699
460,699
461,699
462,699
463,699
463,698
463,697
463,696
463,695
463,694
463,693
463,692
463,691
463,690
463,689
463,688
463,687
463,686
463,685
463,684
463,683
463,682
463,681
463,680
463,679
463,678
463,677
463,676
463,675
463,674
463,673
463,672
463,671
463,670
463,669
463,668
463,667
463,666
463,665
463,664
463,663
463,662
463,661
463,660
463,659
463,658
463,657
463,656
463,655
463,654
463,653
463,652
463,651
463,650
463,649
463,648
463,647
463,646
463,645
463,644
463,643
463,642
463,641
463,640
463,639
463,638
463,637
463,636
463,635
463,634
463,633
463,632
463,631
463,630
463,629
463,628
463,627
463,626
463,625
463,624
463,623
463,622
463,621
463,620
463,619
463,618
463,617
463,616
463,615
463,614
463,613
463,612
463,611
463,610
463,609
463,608
463,607
463,606
463,605
463,604
464,604
464,603
465,603
466,603
467,603
468,603
469,603
470,603
471,603
472,603
473,603
474,603
475,603
476,603
477,603
478,603
479,603
480,603
481,603
482,603
483,603
484,603
485,603
486,603
487,603
488,603
489,603
490,603
491,603
492,603
493,603
494,603
495,603
496,603
497,603
498,603
499,603
500,603
501,603
502,603
503,603
504,603
505,603
506,603
507,603
508,603
509,603
510,603
511,603
512,603
513,603
514,603
515,603
516,603
517,603
518,603
519,603
520,603
521,603
522,603
523,603
524,603
525,603
526,603
527,603
528,603
529,603
530,603
531,603
532,603
533,603
534,603
535,603
536,603
537,603
538,603
539,603
540,603
541,603
542,603
543,603
544,603
545,603
546,603
547,603
548,603
549,603
550,603
551,603
552,603
553,603
554,603
555,603
556,603
557,603
558,603
559,603
560,603
561,603
562,603
563,603
564,603
565,603
566,603
567,603
568,603
569,603
570,603
571,603
572,603
573,603
574,603
575,603
576,603
577,603
578,603
579,603
580,603
581,603
582,603
583,603
584,603
585,603
586,603
587,603
588,603
589,603
590,603
591,603
592,603
593,603
594,603
595,603
596,603
597,603
598,603
599,603
600,603
601,603
602,603
603,603
604,603
605,603
606,603
607,603
608,603
609,603
610,603
611,603
612,603
613,603
614,603
615,603
615,604
616,604
616,605
616,606
616,607
616,608
616,609
616,610
616,611
616,612
616,613
616,614
616,615
616,616
616,617
616,618
616,619
616,620
616,621
616,622
616,623
616,624
616,625
616,626
616,627
616,628
616,629
616,630
616,631
616,632
616,633
616,634
616,635
616,636
616,637
616,638
616,639
616,640
616,641
616,642
616,643
616,644
616,645
616,646
616,647
616,648
616,649
616,650
616,651
616,652
616,653
616,654
616,655
616,656
616,657
616,658
616,659
616,660
616,661
616,662
616,663
616,664
616,665
616,666
616,667
616,668
616,669
616,670
616,671
616,672
616,673
616,674
616,675
616,676
616,677
616,678
616,679
616,680
616,681
616,682
616,683
616,684
616,685
616,686
616,687
616,688
616,689
616,690
616,691
616,692
616,693
616,694
616,695
616,696
616,697
616,698
616,699
617,699
618,699
619,699
620,699
621,699
622,699
623,699
